,bill_id,member_id,vote_position
255,hr1900-113,M001157,No
256,hr1900-113,M001177,No
257,hr1900-113,M001143,Yes
258,hr1900-113,M000312,Yes
259,hr1900-113,M001156,No
260,hr1900-113,M001180,No
261,hr1900-113,M001159,No
262,hr1900-113,M001166,Yes
263,hr1900-113,M001187,No
264,hr1900-113,M001137,Yes
265,hr1900-113,M001188,Yes
266,hr1900-113,M001160,Yes
267,hr1900-113,M001190,No
268,hr1900-113,N000002,Yes
269,hr1900-113,N000179,Yes
270,hr1900-113,N000015,Yes
271,hr1900-113,N000181,No
272,hr1900-113,O000168,No
273,hr1900-113,P000601,No
274,hr1900-113,P000034,Yes
275,hr1900-113,P000096,Yes
276,hr1900-113,P000604,Yes
277,hr1900-113,P000197,Yes
278,hr1900-113,P000593,No
279,hr1900-113,P000605,No
280,hr1900-113,P000608,Yes
281,hr1900-113,P000258,No
282,hr1900-113,P000597,Yes
283,hr1900-113,P000607,Yes
284,hr1900-113,P000599,No
285,hr1900-113,P000523,Yes
286,hr1900-113,Q000023,Yes
287,hr1900-113,R000585,No
288,hr1900-113,R000597,No
289,hr1900-113,R000588,Yes
290,hr1900-113,R000591,No
291,hr1900-113,R000582,No
292,hr1900-113,R000395,No
293,hr1900-113,R000575,No
294,hr1900-113,R000486,Yes
295,hr1900-113,R000599,Not Voting
296,hr1900-113,R000576,Yes
297,hr1900-113,R000515,Not Voting
298,hr1900-113,R000577,Yes
299,hr1900-113,S001156,Yes
300,hr1900-113,S001168,Yes
301,hr1900-113,S001176,No
302,hr1900-113,S001145,Yes
303,hr1900-113,S001150,Yes
304,hr1900-113,S001190,Yes
305,hr1900-113,S001180,Yes
306,hr1900-113,S001183,No
307,hr1900-113,S001157,Yes
308,hr1900-113,S001189,No
309,hr1900-113,S000185,Yes
310,hr1900-113,S000244,No
311,hr1900-113,S000248,Yes
312,hr1900-113,S001185,Yes
313,hr1900-113,S000344,Yes
314,hr1900-113,S000364,No
315,hr1900-113,S001148,No
316,hr1900-113,S001165,Yes
317,hr1900-113,S001172,No
318,hr1900-113,S000510,Yes
319,hr1900-113,S000522,No
320,hr1900-113,S001195,No
321,hr1900-113,S001175,Yes
322,hr1900-113,S001192,No
323,hr1900-113,S001187,No
324,hr1900-113,S001193,Yes
325,hr1900-113,T000472,Yes
326,hr1900-113,T000467,No
327,hr1900-113,T000193,Yes
328,hr1900-113,T000460,Yes
329,hr1900-113,T000238,No
330,hr1900-113,T000470,No
331,hr1900-113,T000468,Yes
332,hr1900-113,T000469,Yes
333,hr1900-113,T000463,No
334,hr1900-113,U000031,No
335,hr1900-113,V000130,Yes
336,hr1900-113,V000131,Yes
337,hr1900-113,V000132,No
338,hr1900-113,V000081,Yes
339,hr1900-113,V000108,Yes
340,hr1900-113,W000812,No
341,hr1900-113,W000798,No
342,hr1900-113,W000791,No
343,hr1900-113,W000813,No
344,hr1900-113,W000797,Yes
345,hr1900-113,W000187,Yes
346,hr1900-113,W000814,No
347,hr1900-113,W000806,No
348,hr1900-113,W000800,Yes
349,hr1900-113,W000815,No
350,hr1900-113,W000816,No
351,hr1900-113,W000795,No
352,hr1900-113,W000808,Yes
353,hr1900-113,W000804,No
354,hr1900-113,W000809,No
355,hr1900-113,W000810,No
356,hr1900-113,Y000062,Yes
357,hr1900-113,Y000065,No
358,hr1938-112,B001271,No
359,hr1938-112,B001255,No
360,hr1938-112,B000911,Yes
361,hr1938-112,C001036,Yes
362,hr1938-112,C001083,Yes
363,hr1938-112,C001045,No
364,hr1938-112,D000613,No
365,hr1938-112,E000290,Yes
366,hr1938-112,E000291,No
367,hr1938-112,F000030,Yes
368,hr1938-112,F000458,No
369,hr1938-112,F000451,Yes
370,hr1938-112,F000456,No
371,hr1938-112,F000445,No
372,hr1938-112,G000548,No
373,hr1938-112,G000564,Yes
374,hr1938-112,G000570,No
375,hr1938-112,H001063,Yes
376,hr1938-112,H001051,No
377,hr1938-112,H001055,No
378,hr1938-112,H000636,No
379,hr1938-112,H001034,Yes
380,hr1938-112,H001057,No
381,hr1938-112,H001060,No
382,hr1938-112,I000057,Yes
383,hr1938-112,K000363,No
384,hr1938-112,L000571,No
385,hr1938-112,M000404,Yes
386,hr1938-112,M000689,No
387,hr1938-112,M001144,No
388,hr1938-112,M001150,No
389,hr1938-112,N000182,No
390,hr1938-112,N000185,No
391,hr1938-112,P000373,No
392,hr1938-112,R000053,Yes
393,hr1938-112,R000587,No
394,hr1938-112,R000589,No
395,hr1938-112,S000030,Yes
396,hr1938-112,S001188,No
397,hr1938-112,W000796,No
398,hr1938-112,W000413,No
399,hr1938-112,B001269,No
400,hr1938-112,B000213,No
401,hr1938-112,B000287,Yes
402,hr1938-112,B001273,No
403,hr1938-112,B001227,Yes
404,hr1938-112,C001037,Yes
405,hr1938-112,C001076,No
406,hr1938-112,C001077,No
407,hr1938-112,C000714,Yes
408,hr1938-112,C001038,Yes
409,hr1938-112,C001048,No
410,hr1938-112,D000612,No
411,hr1938-112,D000604,No
412,hr1938-112,D000533,No
413,hr1938-112,E000288,Yes
414,hr1938-112,F000460,No
415,hr1938-112,F000448,No
416,hr1938-112,F000372,No
417,hr1938-112,G000289,No
418,hr1938-112,G000566,No
419,hr1938-112,G000410,No
420,hr1938-112,H001059,No
421,hr1938-112,I000056,No
422,hr1938-112,J000290,No
423,hr1938-112,J000174,No
424,hr1938-112,L000573,No
425,hr1938-112,L000567,No
426,hr1938-112,L000263,Yes
427,hr1938-112,L000554,No
428,hr1938-112,M001181,No
429,hr1938-112,M001182,No
430,hr1938-112,M001151,No
431,hr1938-112,N000184,No
432,hr1938-112,P000594,No
433,hr1938-112,P000588,No
434,hr1938-112,P000592,No
435,hr1938-112,P000598,Yes
436,hr1938-112,P000602,No
437,hr1938-112,P000591,No
438,hr1938-112,R000578,No
439,hr1938-112,R000586,No
440,hr1938-112,R000409,No
441,hr1938-112,R000592,No
442,hr1938-112,R000583,No
443,hr1938-112,R000435,No
444,hr1938-112,R000580,No
445,hr1938-112,R000593,No
446,hr1938-112,R000487,No
447,hr1938-112,R000570,No
448,hr1938-112,S000250,No
449,hr1938-112,S001154,No
450,hr1938-112,S000480,Yes
451,hr1938-112,S000583,No
452,hr1938-112,T000462,No
453,hr1938-112,T000465,Yes
454,hr1938-112,W000799,Yes
455,hr1938-112,Y000063,No
456,hr1938-112,A000055,No
457,hr1938-112,A000367,No
458,hr1938-112,B001270,Yes
459,hr1938-112,B001257,No
460,hr1938-112,B001250,Not Voting
461,hr1938-112,B000490,No
462,hr1938-112,B000574,Yes
463,hr1938-112,B000755,No
464,hr1938-112,B001274,No
465,hr1938-112,B001260,No
466,hr1938-112,B001275,No
467,hr1938-112,B001248,No
468,hr1938-112,B001251,Yes
469,hr1938-112,C000059,No
470,hr1938-112,C001072,Yes
471,hr1938-112,C001051,Not Voting
472,hr1938-112,C001066,Yes
473,hr1938-112,C000266,No
474,hr1938-112,C001080,Yes
475,hr1938-112,C001084,Yes
476,hr1938-112,C001067,Yes
477,hr1938-112,C001049,Yes
478,hr1938-112,C001061,Yes
479,hr1938-112,C000537,Yes
480,hr1938-112,C001068,Yes
481,hr1938-112,C001053,No
482,hr1938-112,C001062,No
483,hr1938-112,C001078,Yes
484,hr1938-112,C000754,Yes
485,hr1938-112,C001059,No
486,hr1938-112,C001069,Yes
487,hr1938-112,C001087,No
488,hr1938-112,C001063,No
489,hr1938-112,C000984,Yes
490,hr1938-112,D000096,Yes
491,hr1938-112,D000598,Yes
492,hr1938-112,D000191,Yes
493,hr1938-112,D000197,Yes
494,hr1938-112,D000216,Yes
495,hr1938-112,D000616,No
496,hr1938-112,D000610,Yes
497,hr1938-112,D000600,No
498,hr1938-112,D000399,Yes
499,hr1938-112,D000482,Yes
500,hr1938-112,D000614,No
501,hr1938-112,D000615,No
502,hr1938-112,E000179,Yes
503,hr1938-112,E000215,Yes
504,hr1938-112,F000459,No
505,hr1938-112,F000461,No
506,hr1938-112,F000449,Yes
507,hr1938-112,F000450,No
508,hr1938-112,F000455,Yes
509,hr1938-112,G000559,Yes
510,hr1938-112,G000563,No
511,hr1938-112,G000552,No
512,hr1938-112,G000565,No
513,hr1938-112,G000377,No
514,hr1938-112,G000560,No
515,hr1938-112,G000546,No
516,hr1938-112,G000553,No
517,hr1938-112,G000568,No
518,hr1938-112,G000551,Yes
519,hr1938-112,G000558,No
520,hr1938-112,H001052,No
521,hr1938-112,H001053,No
522,hr1938-112,H000324,Yes
523,hr1938-112,H001056,No
524,hr1938-112,H001038,Yes
525,hr1938-112,H001047,Yes
526,hr1938-112,H000874,Yes
527,hr1938-112,H001058,No
528,hr1938-112,H001048,No
529,hr1938-112,J000032,No
530,hr1938-112,J000292,No
531,hr1938-112,J000126,Yes
532,hr1938-112,J000288,Yes
533,hr1938-112,J000255,No
534,hr1938-112,J000289,Not Voting
535,hr1938-112,K000009,Yes
536,hr1938-112,K000375,Yes
537,hr1938-112,K000376,No
538,hr1938-112,K000188,Yes
539,hr1938-112,K000210,No
540,hr1938-112,K000362,No
541,hr1938-112,K000378,No
542,hr1938-112,L000564,No
543,hr1938-112,L000559,Yes
544,hr1938-112,L000560,Yes
545,hr1938-112,L000557,Yes
546,hr1938-112,L000566,No
547,hr1938-112,L000551,Yes
548,hr1938-112,L000287,Yes
549,hr1938-112,L000563,Yes
550,hr1938-112,L000565,Yes
551,hr1938-112,L000397,Yes
552,hr1938-112,L000576,No
553,hr1938-112,L000480,Yes
554,hr1938-112,L000491,No
555,hr1938-112,L000569,No
556,hr1938-112,L000570,Yes
557,hr1938-112,L000562,Yes
558,hr1938-112,M000087,Yes
559,hr1938-112,M001158,No
560,hr1938-112,M001179,No
561,hr1938-112,M001163,Yes
562,hr1938-112,M001165,No
563,hr1938-112,M001157,No
564,hr1938-112,M001177,No
565,hr1938-112,M001143,Yes
566,hr1938-112,M000312,Yes
567,hr1938-112,M001156,No
568,hr1938-112,M001180,No
569,hr1938-112,M001159,No
570,hr1938-112,M001166,Yes
571,hr1938-112,M001137,Yes
572,hr1938-112,M001160,Yes
573,hr1938-112,N000002,Yes
574,hr1938-112,N000179,Yes
575,hr1938-112,N000015,Yes
576,hr1938-112,N000181,No
577,hr1938-112,O000168,No
578,hr1938-112,P000601,No
579,hr1938-112,P000034,Yes
580,hr1938-112,P000096,Yes
581,hr1938-112,P000197,Yes
582,hr1938-112,P000593,No
583,hr1938-112,P000258,No
584,hr1938-112,P000597,Yes
585,hr1938-112,P000599,No
586,hr1938-112,P000523,Yes
587,hr1938-112,Q000023,Yes
588,hr1938-112,R000585,No
589,hr1938-112,R000588,Yes
590,hr1938-112,R000591,No
591,hr1938-112,R000582,No
592,hr1938-112,R000395,No
593,hr1938-112,R000575,No
594,hr1938-112,R000486,Yes
595,hr1938-112,R000576,Yes
596,hr1938-112,R000515,Yes
597,hr1938-112,R000577,Yes
598,hr1938-112,S001156,Not Voting
599,hr1938-112,S001168,Yes
600,hr1938-112,S001176,No
601,hr1938-112,S001145,Yes
602,hr1938-112,S001150,Yes
603,hr1938-112,S001180,Yes
604,hr1938-112,S001183,No
605,hr1938-112,S001157,Yes
606,hr1938-112,S001189,No
607,hr1938-112,S000185,Yes
608,hr1938-112,S000244,No
609,hr1938-112,S000248,Yes
610,hr1938-112,S001185,No
611,hr1938-112,S000344,Yes
612,hr1938-112,S000364,No
613,hr1938-112,S001148,No
614,hr1938-112,S001165,Yes
615,hr1938-112,S001172,No
616,hr1938-112,S000510,Yes
617,hr1938-112,S000522,No
618,hr1938-112,S001175,Yes
619,hr1938-112,S001187,No
620,hr1938-112,T000467,No
621,hr1938-112,T000193,Yes
622,hr1938-112,T000460,Yes
623,hr1938-112,T000238,No
624,hr1938-112,T000470,No
625,hr1938-112,T000469,Yes
626,hr1938-112,T000463,No
627,hr1938-112,U000031,No
628,hr1938-112,V000081,Yes
629,hr1938-112,V000108,No
630,hr1938-112,W000798,No
631,hr1938-112,W000791,No
632,hr1938-112,W000797,Yes
633,hr1938-112,W000187,Yes
634,hr1938-112,W000806,No
635,hr1938-112,W000800,Yes
636,hr1938-112,W000795,No
637,hr1938-112,W000808,Yes
638,hr1938-112,W000804,No
639,hr1938-112,W000809,No
640,hr1938-112,W000810,No
641,hr1938-112,Y000062,Yes
642,hr1965-113,B001271,No
643,hr1965-113,B001255,No
644,hr1965-113,B000911,Yes
645,hr1965-113,C001036,Yes
646,hr1965-113,C001083,Yes
647,hr1965-113,C001045,No
648,hr1965-113,E000290,Yes
649,hr1965-113,E000291,No
650,hr1965-113,F000030,Yes
651,hr1965-113,F000458,No
652,hr1965-113,F000451,No
653,hr1965-113,F000456,No
654,hr1965-113,F000445,No
655,hr1965-113,G000548,No
656,hr1965-113,G000564,Yes
657,hr1965-113,G000556,Yes
658,hr1965-113,H001063,Yes
659,hr1965-113,H001051,No
660,hr1965-113,H001055,No
661,hr1965-113,H000636,Yes
662,hr1965-113,H001034,Yes
663,hr1965-113,H001057,No
664,hr1965-113,H001060,No
665,hr1965-113,I000057,Yes
666,hr1965-113,K000363,No
667,hr1965-113,L000571,No
668,hr1965-113,M000404,Yes
669,hr1965-113,M000689,No
670,hr1965-113,M001144,No
671,hr1965-113,M001150,No
672,hr1965-113,M001191,Yes
673,hr1965-113,N000182,No
674,hr1965-113,N000185,Yes
675,hr1965-113,P000373,No
676,hr1965-113,R000053,Yes
677,hr1965-113,R000587,No
678,hr1965-113,R000589,No
679,hr1965-113,S000018,No
680,hr1965-113,S000030,Yes
681,hr1965-113,S001188,No
682,hr1965-113,W000796,No
683,hr1965-113,W000413,No
684,hr1965-113,B001269,No
685,hr1965-113,B000213,No
686,hr1965-113,B000287,Yes
687,hr1965-113,B001273,No
688,hr1965-113,B001227,Yes
689,hr1965-113,B001283,No
690,hr1965-113,C001037,Yes
691,hr1965-113,C001076,No
692,hr1965-113,C001077,No
693,hr1965-113,C000714,Yes
694,hr1965-113,C001038,Yes
695,hr1965-113,C001048,No
696,hr1965-113,D000620,Yes
697,hr1965-113,D000612,No
698,hr1965-113,D000604,No
699,hr1965-113,D000621,No
700,hr1965-113,D000533,No
701,hr1965-113,E000288,Yes
702,hr1965-113,E000293,Yes
703,hr1965-113,F000460,No
704,hr1965-113,F000448,No
705,hr1965-113,F000372,No
706,hr1965-113,G000289,No
707,hr1965-113,G000566,No
708,hr1965-113,G000410,Yes
709,hr1965-113,H001059,No
710,hr1965-113,I000056,No
711,hr1965-113,J000290,No
712,hr1965-113,J000174,No
713,hr1965-113,L000573,No
714,hr1965-113,L000567,Yes
715,hr1965-113,L000263,Yes
716,hr1965-113,L000554,No
717,hr1965-113,L000580,Yes
718,hr1965-113,M001181,No
719,hr1965-113,M001189,No
720,hr1965-113,M001182,No
721,hr1965-113,M001151,No
722,hr1965-113,N000184,No
723,hr1965-113,N000127,Yes
724,hr1965-113,O000170,Yes
725,hr1965-113,P000594,No
726,hr1965-113,P000588,No
727,hr1965-113,P000606,No
728,hr1965-113,P000592,No
729,hr1965-113,P000598,Yes
730,hr1965-113,P000602,No
731,hr1965-113,P000591,No
732,hr1965-113,R000578,No
733,hr1965-113,R000586,No
734,hr1965-113,R000409,No
735,hr1965-113,R000592,No
736,hr1965-113,R000583,No
737,hr1965-113,R000435,No
738,hr1965-113,R000580,No
739,hr1965-113,R000593,Not Voting
740,hr1965-113,R000598,No
741,hr1965-113,R000487,No
742,hr1965-113,R000570,No
743,hr1965-113,S000051,Yes
744,hr1965-113,S000250,No
745,hr1965-113,S001170,Yes
746,hr1965-113,S001154,No
747,hr1965-113,S000480,Yes
748,hr1965-113,S000583,No
749,hr1965-113,T000462,No
750,hr1965-113,T000465,Yes
751,hr1965-113,V000129,No
752,hr1965-113,W000799,Yes
753,hr1965-113,Y000063,No
754,hr1965-113,A000055,No
755,hr1965-113,A000367,No
756,hr1965-113,A000369,No
757,hr1965-113,B001282,No
758,hr1965-113,B001270,Yes
759,hr1965-113,B001281,Yes
760,hr1965-113,B001287,Yes
761,hr1965-113,B001257,No
762,hr1965-113,B001250,No
763,hr1965-113,B000490,Yes
764,hr1965-113,B000574,Yes
765,hr1965-113,B001278,Yes
766,hr1965-113,B000755,No
767,hr1965-113,B001274,No
768,hr1965-113,B001284,No
769,hr1965-113,B001285,Yes
770,hr1965-113,B001260,No
771,hr1965-113,B001275,No
772,hr1965-113,B001248,No
773,hr1965-113,B001286,Yes
774,hr1965-113,B001251,Yes
775,hr1965-113,C000059,No
776,hr1965-113,C001097,Yes
777,hr1965-113,C001072,Yes
778,hr1965-113,C001051,No
779,hr1965-113,C001090,Yes
780,hr1965-113,C001066,Yes
781,hr1965-113,C001091,Yes
782,hr1965-113,C000266,No
783,hr1965-113,C001080,Yes
784,hr1965-113,C001084,Yes
785,hr1965-113,C001067,Yes
786,hr1965-113,C001049,Yes
787,hr1965-113,C001061,Yes
788,hr1965-113,C000537,Yes
789,hr1965-113,C001068,Yes
790,hr1965-113,C001053,No
791,hr1965-113,C001093,No
792,hr1965-113,C001092,No
793,hr1965-113,C001062,No
794,hr1965-113,C001078,Yes
795,hr1965-113,C001094,No
796,hr1965-113,C000754,Yes
797,hr1965-113,C001059,No
798,hr1965-113,C001069,Yes
799,hr1965-113,C001087,No
800,hr1965-113,C001063,Yes
801,hr1965-113,C000984,Yes
802,hr1965-113,D000096,Yes
803,hr1965-113,D000619,No
804,hr1965-113,D000598,Yes
805,hr1965-113,D000191,Yes
806,hr1965-113,D000197,Yes
807,hr1965-113,D000216,Yes
808,hr1965-113,D000617,Yes
809,hr1965-113,D000616,No
810,hr1965-113,D000610,Yes
811,hr1965-113,D000600,Not Voting
812,hr1965-113,D000399,Yes
813,hr1965-113,D000482,Yes
814,hr1965-113,D000614,No
815,hr1965-113,D000615,No
816,hr1965-113,E000179,Yes
817,hr1965-113,E000215,Yes
818,hr1965-113,F000459,No
819,hr1965-113,F000461,No
820,hr1965-113,F000449,No
821,hr1965-113,F000454,Yes
822,hr1965-113,F000450,No
823,hr1965-113,F000462,Yes
824,hr1965-113,F000455,Yes
825,hr1965-113,G000571,Yes
826,hr1965-113,G000559,Yes
827,hr1965-113,G000563,No
828,hr1965-113,G000552,Not Voting
829,hr1965-113,G000565,No
830,hr1965-113,G000377,No
831,hr1965-113,G000560,No
832,hr1965-113,G000546,No
833,hr1965-113,G000553,Yes
834,hr1965-113,G000568,No
835,hr1965-113,G000551,Yes
836,hr1965-113,G000558,No
837,hr1965-113,H001052,No
838,hr1965-113,H001053,No
839,hr1965-113,H000324,Yes
840,hr1965-113,H001064,Yes
841,hr1965-113,H001056,Not Voting
842,hr1965-113,H001038,Yes
843,hr1965-113,H001047,Yes
844,hr1965-113,H001065,No
845,hr1965-113,H001066,Yes
846,hr1965-113,H000874,Yes
847,hr1965-113,H001067,No
848,hr1965-113,H001068,Yes
849,hr1965-113,H001058,No
850,hr1965-113,H001048,No
851,hr1965-113,J000032,Yes
852,hr1965-113,J000294,Yes
853,hr1965-113,J000292,No
854,hr1965-113,J000126,Yes
855,hr1965-113,J000288,Yes
856,hr1965-113,J000255,No
857,hr1965-113,J000289,No
858,hr1965-113,J000295,No
859,hr1965-113,K000009,Yes
860,hr1965-113,K000375,Yes
861,hr1965-113,K000385,Yes
862,hr1965-113,K000376,No
863,hr1965-113,K000379,Yes
864,hr1965-113,K000380,Yes
865,hr1965-113,K000381,Yes
866,hr1965-113,K000188,Yes
867,hr1965-113,K000210,No
868,hr1965-113,K000362,No
869,hr1965-113,K000378,No
870,hr1965-113,K000368,Yes
871,hr1965-113,K000382,Yes
872,hr1965-113,L000578,No
873,hr1965-113,L000564,No
874,hr1965-113,L000559,Yes
875,hr1965-113,L000560,Yes
