,bill_id,congressdotgov_url,govtrack_url,title,summary,oil,solar,wind,hydro,nuclear,coal
10,s2790-115,https://www.congress.gov/bill/115th-congress/senate-bill/2790,https://www.govtrack.us/congress/bills/115/s2790,"A bill to amend the Farm Security and Rural Investment Act of 2002, to require the Secretary of Agriculture to establish a community wood energy and wood innovation program, and for other purposes.",,0,0,0,0,0,0
11,s1833-115,https://www.congress.gov/bill/115th-congress/senate-bill/1833,https://www.govtrack.us/congress/bills/115/s1833,"A bill to modify requirements applicable to locatable minerals on public domain land, and for other purposes.",,0,0,0,0,0,1
12,hr1944-114,https://www.congress.gov/bill/114th-congress/house-bill/1944,https://www.govtrack.us/congress/bills/114/hr1944,"To provide regulatory relief to alternative fuel producers and consumers, and for other purposes.","Fuel Choice and Deregulation Act of 2015 This bill amends the Clean Air Act to revise provisions concerning alternative fuel. Currently, a change to the original configuration of a certified vehicle or engine, including alternative fuel conversion, may be a potential violation of the Act's prohibition against tampering with devices used to control emissions from vehicles. The bill prohibits the aftermarket conversion of a vehicle to alternative fuel operation from: (1) being considered tampering under the Act if the conversion technology is matched to an appropriate vehicle and does not degrade emission performance, or (2) requiring the issuance by the Environmental Protection Agency (EPA) of any certificate of conformity. The bill also establishes labeling requirements for an aftermarket conversion. The EPA may not prohibit or control biomass fuel under the Act. Biomass fuel is produced by conversion of certain organic matter which is available on a renewable basis. If a fuel choice enabling manufacturer (certain manufacturers of vehicles that operate with alternative fuels) is in compliance with applicable fuel economy standards, the vehicles it makes are deemed to be in compliance with greenhouse gas regulations established by the EPA under the Act. The requirements governing the calculation of average fuel economy are revised, including by giving an average fuel economy bonus for those manufacturers. The bill amends the Internal Revenue Code to adjust the excise tax on liquefied natural gas to 24.3 cents per energy equivalent of a gallon of diesel.  The Clean Air Act places Reid vapor pressure limitations, or gasoline volatility limits, on gasoline during the summer ozone season. Gasoline blended with 10% ethanol (E10) may exceed this limitation by a certain amount under the Act. The bill extends this waiver to gasoline blended with more than 10% ethanol.",1,0,0,0,0,0
13,hr5176-113,https://www.congress.gov/bill/113th-congress/house-bill/5176,https://www.govtrack.us/congress/bills/113/hr5176,"To authorize the Secretary of the Interior to retire coal preference right lease applications for which the Secretary has made an affirmative commercial quantities determination, and for other purposes.","(This measure has not been amended since it was introduced. The summary of that version is repeated here.) Authorizes the Secretary of the Interior to retire any coal preference right lease application for which an affirmative commercial quantities determination has been made, by issuing bidding rights in exchange for relinquishment of the application, including payment to the relevant state of 50% of the dollar amount of any bidding right subsequently used in lieu of any monetary payment of a bonus in a coal lease sale or of rental or royalty under a federal coal lease. Requires the Secretary to make such payments from revenues received under federal mineral leases.  Declares such bidding rights to be fully transferable to any other person.  Terminates a bidding right five years from its date of issue, not counting any period in which exercise of the bidding right is precluded by temporary injunctive relief granted under, or administrative, legislative, or judicial suspension of, the federal coal leasing program. ",0,0,0,0,0,1
14,hr83-113,https://www.congress.gov/bill/113th-congress/house-bill/83,https://www.govtrack.us/congress/bills/113/hr83,"To require the Secretary of the Interior to assemble a team of technical, policy, and financial experts to address the energy needs of the insular areas of the United States and the Freely Associated States through the development of action plans aimed at reducing reliance on imported fossil fuels and increasing use of indigenous clean-energy resources, and for other purposes.",,-1,1,1,1,1,-1
15,hr875-113,https://www.congress.gov/bill/113th-congress/house-bill/875,https://www.govtrack.us/congress/bills/113/hr875,"To provide for a comprehensive assessment of the scientific and technical research on the implications of the use of mid-level ethanol blends, and for other purposes.","(Sec. 2) Requires the Assistant Administrator of the Office of Research and Development at the Environmental Protection Agency (EPA) to:  enter into an agreement with the National Academy of Sciences to make a comprehensive assessment of research on the implications of using mid-level ethanol blends, comparing mid-level ethanol blends to gasoline blends containing 10% and 0% ethanol; and report on assessment findings and whether the EPA Administrator agrees or disagrees with each of them.   Defines a mid-level ethanol blend as an ethanol-gasoline blend containing greater than 10% and up to and including 20% ethanol by volume that is intended to be used in any conventional gasoline-powered onroad, nonroad, or marine engine, or onroad or nonroad vehicle. Nullifies waivers granted under the Clean Air Act before the enactment of this Act that allow the introduction into commerce of mid-level ethanol blends for use in motor vehicles, and prohibits the Administrator from granting any new waivers until after the report is submitted. Requires the assessment to include: (1) an evaluation of the environmental, safety, durability, and performance effects of the introduction of mid-level blends on onroad, nonroad, and marine engines, onroad and nonroad vehicles, and related equipment; and (2) an identification of areas of research, development, and testing necessary to ensure that existing motor fuel infrastructure is not adversely impacted by mid-level ethanol blends and to reduce the risk of misfueling by users at various points in the distribution and supply chain. Requires the evaluation to review all available scientific evidence and identify gaps in understanding and research needs related to tailpipe emissions, evaporative emissions, engine and fuel system durability, onboard diagnostics, emissions inventory and other modeling effects, materials compatibility, operability and drivability, fuel efficiency, fuel economy, consumer education and satisfaction, cost-effectiveness for the consumer, catalyst durability, and durability of storage tanks, piping, and dispensers for retail. (Sec. 3) Directs the Administrator to use certain funds made available to the EPA for science and technology, including research and development activities, to carry out this Act.",-1,0,0,0,0,0
16,hr5814-113,https://www.congress.gov/bill/113th-congress/house-bill/5814,https://www.govtrack.us/congress/bills/113/hr5814,To adapt to changing crude oil market conditions.,"Amends the Energy Policy and Conservation Act to repeal authority to restrict the export of: (1) coal, petroleum products, natural gas, or petrochemical feedstocks; and (2) supplies of materials or equipment necessary to maintain or further exploration, production, refining, or transportation of energy supplies, or for the construction or maintenance of energy facilities within the United States. Prohibits any federal official from imposing or enforcing any restriction on the export of crude oil.  Requires the Secretary of Energy (DOE) to study and make recommendations on the appropriate size, composition, and purpose of the Strategic Petroleum Reserve. ",1,0,0,0,0,1
17,s1419-113,https://www.congress.gov/bill/113th-congress/senate-bill/1419,https://www.govtrack.us/congress/bills/113/s1419,"A bill to promote research, development, and demonstration of marine and hydrokinetic renewable energy technologies, and for other purposes.","Marine and Hydrokinetic Renewable Energy Act of 2014 - Title I: Marine and Hydrokinetic Renewable Energy Technologies - (Sec. 101) Amends the Energy Independence and Security Act of 2007 to redefine ""marine and hydrokinetic renewable energy"" to include all forms of energy (currently just electrical energy) from: (1) waves, tides, and currents in oceans, estuaries, and tidal areas; (2) free flowing water in rivers, lakes, and streams; (3) free flowing water in man-made channels; and (4) differentials in ocean temperature (ocean thermal energy conversion). (Sec. 102) Requires Department of Energy (DOE) to consult with the Federal Energy Regulatory Commission (FERC) in carrying out the program of research, development, demonstration, and commercial application to accelerate the introduction of marine and hydrokinetic renewable energy production. Requires DOE to prioritize fostering accelerated research, development, and commercialization of technology. Expands such program, including by: (1) incorporating technology development assistance to improve the components, processes, and systems used for power generation from marine and hydrokinetic renewable energy resources; (2) establishing critical testing infrastructure; (3) increasing the reliability and survivability of such technologies; and (4) supporting in-water technology development with international partners. (Sec. 103) Declares that the purposes of a National Marine Renewable Energy Research, Development, and Demonstration Center include:   advance research, development, demonstration, and commercial application of marine and hydrokinetic renewable energy technologies; support of in-water testing and demonstration of such technologies; and service as an information clearinghouse on best practices for the marine and hydrokinetic renewable energy industry.   (Sec. 104) Extends the authorization of funding for the program through FY2018. Title II: National Marine Renewable Energy Research, Development, and Demonstration Centers - (Sec. 201) Amends the Federal Power Act to authorize FERC to issue a pilot license to construct, operate, and maintain a hydrokinetic pilot project that meets specified criteria.",0,0,0,1,0,0
18,hr2-113,https://www.congress.gov/bill/113th-congress/house-bill/2,https://www.govtrack.us/congress/bills/113/hr2,"To remove Federal Government obstacles to the production of more domestic energy; to ensure transport of that energy reliably to businesses, consumers, and other end users; to lower the cost of energy to consumers; to enable manufacturers and other businesses to access domestically produced energy affordably and reliably in order to create and sustain more secure and well-paying American jobs; and for other purposes.",,1,0,0,0,0,0
19,hr4956-113,https://www.congress.gov/bill/113th-congress/house-bill/4956,https://www.govtrack.us/congress/bills/113/hr4956,"To greatly enhance America's path toward energy independence and economic and national security, to conserve energy use, to promote innovation, to achieve lower emissions, cleaner air, cleaner water, and cleaner land, to rebuild our Nation's aging roads, bridges, locks, and dams, and for other purposes.","American Energy Opportunity Act of 2014 - Deems the Draft Proposed Outer Continental Shelf Oil and Gas Leasing Program 2010-2015 issued by the Secretary of the Interior to be approved as a final oil and gas leasing program under the Outer Continental Shelf Lands Act. Deems the Secretary to have issued a final environmental impact statement for the Program under the National Environmental Policy Act of 1969.  Directs the Secretary to:  conduct a lease sale in each outer Continental Shelf (OCS) planning area for which there is a commercial interest in purchasing federal oil and gas production leases; prepare an inventory of U.S. offshore energy resources; and promulgate regulations concerning the production of oil or gas resources of the OCS, including regulating the installation of surface facilities, mitigating the impact of such facilities on coastal vistas, and allowing onshore facilities to draw upon such resources that are within 10 miles of shore.  Extends from three geographical miles to nine nautical miles a coastal state's allowable seaward boundary. Repeals the moratorium on oil and gas leasing in: (1) any area east of the Military Mission Line in the Gulf of Mexico, (2) any area in the Eastern Planning Area that is within 125 miles of the Florida coastline, and (3) specified areas within the Central Planning Area and within 100 miles of the Florida coastline.  Requires the Secretary of the Interior to issue a final leasing plan for the Eastern Gulf of Mexico for all areas where there exists commercial interest in purchasing federal oil and gas leases for production. Specifies revenue sharing percentages for sums received from leasing offshore pursuant to this Act, including 30% for producing states. Authorizes the President authority to waive requirements relating to the approval of oil and natural gas activity deemed to be important to national interests. Amends the Clean Air Act to: (1) revise the definition of ""renewable biomass"" to include trees, tree residue, and slash and pre-commercial thinnings that are from forestlands on public lands; and (2) require new source review regulations relating to the construction of a new source or the modification of an existing source to provide that routine maintenance and repair do not constitute a modification of an existing source. Requires the Secretary of Energy (DOE) to:  implement a grant and loan program for the construction or modernization of coal fired generation units to enable use of technology to reduce greenhouse gases, publish a plan to exchange a specified amount of light grade petroleum from the Strategic Petroleum Reserve for heavy grade petroleum plus additional cash bonus bids that reflect the difference in market value; and set aside net proceeds from such exchange for the Energy Independence and Security Fund (established by this Act).    Prescribes Energy Independence and Security Fund allocations to the Energy Transformation Acceleration Fund, specified Energy Efficiency and Renewable Energy accounts, the Weatherization Assistance Program, specified Fossil Energy Research and Development accounts, the Basic Energy Sciences account. Amends the Internal Revenue Code to:  extend through 2019 tax credits for energy conservation and production, including credits for producing electricity from renewable resources, alternative fuel vehicles and refueling property expenditures, residential energy efficiency and solar energy and fuel cell property expenditures, and biodiesel and renewable diesel used as fuel; extend through 2018 the tax deduction for energy efficient commercial buildings; increase the limitation on the issuance of new clean renewable energy bonds; allow an additional tax deduction for the cost of installing mechanical insulation property; extend through 2019 the tax credit for fuel cell motor vehicles, advanced lean burn technology motor vehicles, hybrid motor vehicles, alternative fuel motor vehicles, and plug-in conversions; repeal the limitation on the number of hybrid and advanced lean-burn technology vehicles eligible for such credit; extend through 2019 the tax credit for plug-in electric drive motor vehicles; allow a new tax credit for the purchase of a motor vehicle identified by the Environmental Protection Agency (EPA) as the most efficient vehicle in its class; and allow an excise tax credit through 2019 for alternative fuels and fuel mixtures involving compressed or liquefied natural gas or liquefied petroleum gas.   Prescribes requirements for the use of electric drive vehicles and alternative fuel motor vehicles. Requires that at least 10% of the federal fleet be plug-in electric drive vehicles by FY2014, with such percentage increasing by at least 2% (up to 50%) each fiscal year. Directs DOE to: (1) provide grants to assist local governments in the installation of recharging facilities for electric drive vehicles, and (2) guarantee loans for any purchaser of at least 5,000 battery systems that use advanced battery technology. Includes innovative low-carbon technology projects as projects eligible for loan guarantees made by DOE for innovative technologies. Requires programs or directives established by this Act concerning increasing diversification and efficiency of transportation and electric systems, but not extensions of tax credits, to be offset with funds in the Carbon Free Reserve.",0,0,0,0,0,0
20,hr4553-113,https://www.congress.gov/bill/113th-congress/house-bill/4553,https://www.govtrack.us/congress/bills/113/hr4553,"To authorize appropriations for fossil energy research and development programs at the Department of Energy, and for other purposes.","Fossil Energy Encouragement and Accountability Act of 2014 - Authorizes appropriations to the Secretary of Energy (DOE) for FY2015 for coal, natural gas, and oil research and development.Prohibits the use of such funds, however, to: (1) transform any element of the National Energy Technology Laboratory into a government-owned, contractor-operated laboratory, or to consider or plan for any such transformation; (2) consolidate or close any element of the Laboratory; or (3) transfer the Laboratory's human resources functions from any laboratory.",0,0,0,0,0,0
21,hr6-113,https://www.congress.gov/bill/113th-congress/house-bill/6,https://www.govtrack.us/congress/bills/113/hr6,"To provide for expedited approval of exportation of natural gas to World Trade Organization countries, and for other purposes.","Domestic Prosperity and Global Freedom Act - (Sec. 2) Directs the Department of Energy (DOE), for proposals that must also obtain authorization from the Federal Energy Regulatory Commission or the United States Maritime Administration to site, construct, expand, or operate liquified natural gas (LNG) export facilities, to issue a decision on an application for authorization to export natural gas within 30 days after the later of: (1) the conclusion of the review to site, construct, expand, or operate the LNG facilities required by the National Environmental Policy Act of 1969 (NEPA); or (2) the date of enactment of this Act. Deems any NEPA review to be concluded: (1) 30 days after publication of a required Environmental Impact Statement if the project needs one; (2) 30 days after publication by DOE of a Finding of No Significant Impact if the project needs an Environmental Assessment; and (3) upon a determination by the lead agency that an application is eligible for a categorical exclusion pursuant to regulations under NEPA. (A ""categorical exclusion"" under NEPA is a category of actions which do not individually or cumulatively have a significant effect on the human environment and which have been found to have no such effect in procedures adopted by a federal agency in implementing environmental regulations and for which, therefore, neither an Environmental Assessment nor an Environmental Impact Statement is required.) Confers original and exclusive jurisdiction upon the U.S. Court of Appeals for the circuit in which the export facility under an application will be located over any civil action for the review of: (1) a DOE order regarding the application, or (2) DOE failure to issue a final decision on the application. Requires the Court, if it finds in a civil action that DOE has failed to issue a final decision on an application, to order DOE to issue one within 30 days. Requires the Court to set any civil action brought under this Act on the docket, for expedited consideration, as soon as practical after the filing date of the initial pleading. (Sec. 3) Amends the Natural Gas Act to set, as a condition for approval of any authorization to export LNG, that the DOE Secretary require the applicant to disclose publicly the specific destination or destinations of any such authorized LNG exports.",1,0,0,0,0,0
22,hr3301-113,https://www.congress.gov/bill/113th-congress/house-bill/3301,https://www.govtrack.us/congress/bills/113/hr3301,"To require approval for the construction, connection, operation, or maintenance of oil or natural gas pipelines or electric transmission facilities at the national boundary of the United States for the import or export of oil, natural gas, or electricity to or from Canada or Mexico, and for other purposes.","North American Energy Infrastructure Act - (Sec. 3) Prohibits any person from constructing, connecting, operating, or maintaining a cross-border segment of an oil or natural gas pipeline or electric transmission facility at the national boundary of the United States for the import or export of oil, natural gas, or electricity to or from Canada or Mexico without obtaining a certificate of crossing under this Act.  Requires the Secretary of State, with respect to oil pipelines, or the Secretary of Energy (DOE), with respect to electric transmission facilities, to issue a certificate of crossing for the cross-border segment within 120 days after final action is taken under the National Environmental Policy Act of 1969 (NEPA), unless it is not in U.S. public interest. Directs DOE, as a condition of issuing a certificate, to require that the cross-border segment be constructed, connected, operated, or maintained consistent with the policies and standards of: (1) the Electric Reliability Organization and the applicable regional entity, and (2) any Regional Transmission Organization or Independent System Operator with operational or functional control over the segment.  Exempts from such requirement any construction, connection, operation, or maintenance of a cross-border segment if: (1) it is operating for import, export, or electrical transmission upon the date of enactment of this Act; (2) the relevant permit or certificate of crossing has previously been issued under this Act; or (3) an permit application is pending on the date of enactment of this Act, until it is denied or July 1, 2016, whichever occurs first.  Retains: (1) the requirement to obtain approval or authorization under the Natural Gas Act for the siting, construction, or operation of any facility to import or export natural gas, and (2) certain authority of the President under the Energy Policy and Conservation Act (EPCA).  (Sec. 4) Amends the Natural Gas Act to declare that no order of the Federal Energy Regulatory Commission (FERC) is required for the export or import of natural gas to or from Canada or Mexico.  (Sec. 5) Amends the Federal Power Act to repeal the requirement that the transmission of electric energy to a foreign country necessitates prior authorization by FERC.  (Sec. 6) Declares that no Presidential permit shall be necessary for the construction, connection, operation, or maintenance of an oil or natural gas pipeline or electric transmission facility, including any cross-border segment. (Sec. 7) Declares that no certificate of crossing or permit shall be required for a modification to the construction, connection, operation, or maintenance of an oil or natural gas pipeline or electric transmission facility that: (1) operates for the import or export of oil or natural gas or the transmission of electricity to or from Canada or Mexico as of the date of enactment of this Act; (2) for which a permit for such construction, connection, operation, or maintenance has been issued; or (3) for which a certificate of crossing for the cross-border segment of the pipeline or facility has previously been issued. (Sec. 8) Sets forth deadlines for rulemaking.",-1,0,0,0,0,0
23,hr1587-113,https://www.congress.gov/bill/113th-congress/house-bill/1587,https://www.govtrack.us/congress/bills/113/hr1587,"To authorize the Secretary of the Interior and the Secretary of Agriculture to issue permits for rights-of-way, temporary easements, or other necessary authorizations to facilitate natural gas, oil, and petroleum product pipelines and related facilities on eligible Federal lands, and for other purposes.","Energy Infrastructure Improvement Act - Authorizes the Secretary of the Interior (or the Secretary of Agriculture, as appropriate for administrative jurisdiction over the federal lands involved) to issue permits for rights-of-way, temporary easements, or other necessary authorizations to allow a permittee to construct, operate, maintain, expand, or modify a natural gas, oil, or petroleum products pipeline and related facilities on eligible federal lands. Directs the Secretary to: (1) charge fees for such permits, (2) determine the initial fixed term for a permit, and (3) renew any right-of-way issued under this Act if the pipeline and its related facility is in commercial operation and operated and maintained in accordance with this Act. Grants the Secretary enforcement and modification powers, including fines and suspension or termination of rights-of-way.",1,0,0,0,0,0
